TrialNumber,ProductFilePath,product_ENG,product_KOR,genre,classification,price_range,InfoType,Q_Order,Credibility_EX,Credibility_CON,Credibility_PEER,Credibility_general,Preference,Credibility_EX_RT,Credibility_CON_RT,Credibility_PEER_RT,Credibility_general_RT,Preference_RT
1,canned tuna.png,canned tuna,참치캔,FOOD,UT,LOW,gpt,credibility_general-credibility_CON-credibility_PEER-credibility_EX-preference,2,1,1,6,7,0.38165060011669993,0.5199928001966327,0.4396162999328226,2.7288826999720186,0.4057942000217736
2,pen.png,pen,볼펜,STA,UT,LOW,consensus,credibility_CON-preference-credibility_general-credibility_EX-credibility_PEER,2,7,1,7,4,0.6454958999529481,0.2572156998794526,0.2629497000016272,1.0526304000522941,3.738526600180194
3,supplements.png,supplements,멀티비타민,FOOD,UT,HIGH,peer,credibility_general-credibility_PEER-credibility_CON-credibility_EX-preference,1,4,1,2,4,0.2867022000718862,1.0725828998256475,0.2841351998504251,0.9273410998284817,3.6198915001004934
4,cake.png,cake,케이크,FOOD,HE,HIGH,expert,preference-credibility_EX-credibility_CON-credibility_general-credibility_PEER,4,1,1,4,2,0.6326295000035316,0.23214750015176833,0.310811199946329,8.58013779995963,0.27901990013197064
5,decorative tape.png,decorative tape,디자인 테이프,STA,HE,LOW,peer,credibility_PEER-credibility_general-credibility_EX-credibility_CON-preference,2,2,1,5,4,0.3487200001254678,0.4383984000887722,1.4490169000346214,0.23852519993670285,0.8150007000658661
6,chocolate.png,chocolate,초콜릿,FOOD,HE,LOW,consensus,credibility_PEER-credibility_CON-credibility_EX-preference-credibility_general,5,7,1,6,6,0.43344980012625456,0.21449810010381043,0.310354599962011,0.35309799993410707,0.3785047000274062
7,chips.png,chips,감자칩,FOOD,HE,LOW,gpt,preference-credibility_general-credibility_CON-credibility_EX-credibility_PEER,6,4,2,6,4,1.3704669000580907,4.65758670005016,0.21906969998963177,0.2641829999629408,1.8273205999284983
8,decorative magnet.png,decorative magnet,장식 자석,STA,HE,LOW,expert,credibility_CON-credibility_PEER-credibility_EX-credibility_general-preference,7,2,2,6,2,0.24102529999800026,0.8144524998497218,0.29350679996423423,0.26419529994018376,0.27919379994273186
9,oil pastels.png,oil pastels,오일 파스텔 세트,STA,HE,HIGH,peer,preference-credibility_EX-credibility_general-credibility_CON-credibility_PEER,2,2,1,2,2,0.3002670998685062,0.3831408000551164,0.290290400153026,0.27026120014488697,1.5111006000079215
10,cup ramen.png,cup ramen,컵라면,FOOD,UT,LOW,consensus,credibility_general-credibility_EX-credibility_PEER-preference-credibility_CON,4,7,1,6,4,0.9193696000147611,0.24585770000703633,0.3585887001827359,0.7821182000916451,0.4954315999057144
11,wax seal kit.png,wax seal kit,실링 왁스 키트,STA,HE,HIGH,gpt,credibility_CON-preference-credibility_PEER-credibility_EX-credibility_general,4,2,2,6,2,0.42415500013157725,4.505595399998128,0.5772901999298483,0.4114819997921586,5.379534600069746
12,tea gift set.png,tea gift set,말차 세트,FOOD,HE,HIGH,consensus,credibility_general-preference-credibility_EX-credibility_CON-credibility_PEER,5,7,1,6,6,1.6682651999872178,0.2407812001183629,0.29044690006412566,1.18973289988935,0.35142729990184307
13,paper weight.png,paper weight,문진,STA,HE,HIGH,expert,credibility_PEER-credibility_EX-credibility_CON-credibility_general-preference,7,2,1,7,2,0.2616797999944538,0.45052239997312427,0.3599547001067549,0.19444540003314614,0.3160418001934886
14,memo pads.png,memo pads,메모지,STA,UT,LOW,peer,credibility_PEER-credibility_EX-credibility_general-credibility_CON-preference,2,2,2,3,4,0.2034732000902295,0.2040848999749869,3.161870199954137,0.2858519998844713,0.4823333998210728
15,cookies.png,cookies,쿠키,FOOD,HE,LOW,expert,preference-credibility_EX-credibility_CON-credibility_PEER-credibility_general,6,2,1,7,6,0.2608168001752347,0.22244329983368516,0.33844500011764467,0.1807051000650972,0.3227956001646817
16,stamp.png,stamp,도장,STA,HE,LOW,gpt,credibility_general-credibility_PEER-preference-credibility_EX-credibility_CON,6,2,1,7,4,0.31543689989484847,3.2505548999179155,0.1875680999364704,0.15732569992542267,0.9468668999616057
