bread,[제빵사]
cable organizer,[제품디자인 전문가]
cake,[제과 전문가]
canned tuna,[식품영양 전문가]
caviar,[식품감별 전문가]
chips,[식품공정 전문가]
chocolate,[쇼콜라티에]
cookies,[제과 연구원]
cup ramen,[식품안전 전문가]
decorative magnet,[산업디자인 전문가]
decorative tape,[시각디자인 전문가]
egronomics chair seat,[인체공학 전문가]
fountain pen,[필기구 전문가]
frozen pizza,[식품개발 전문가]
instant coffee,[식품관능 평가사]
laptop stand,[인체공학 전문가]
leather notebook,[제품디자인 전문가]
mango set,[식품품질 전문가]
manuka honey,[식품영양 전문가]
memo pads,[문구제품 디자이너]
mouse pad ,[산업디자인 전문가]
oil pastels,[미술재료 전문가]
organic olive oil,[식품영양 전문가]
paper weight,[제품디자인 전문가]
pen,[필기구 전문가]
scientific calculator,[수학교육 전문가]
stamp,[문구디자인 전문가]
steak 500g,[식육가공 전문가]
stickers,[시각디자인 전문가]
supplements,[영양학 전문가]
tea gift set,[차 소믈리에]
wax seal kit,[공예 전문가]
